Fund,Fund Manager,Category,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,classification
Nippon India Nifty Alpha Low Volatility 30 Index Fund(G),Himanshu Mange,EQ-INDX,2.8,0.89,-0.03,5.72,6.46,1.7,2.55,-8.52,-2.46,-2.1,Equity : Index Funds
Nippon India Nifty Auto ETF,Himanshu Mange,EQ-ETF,4.92,4.93,4.16,7.79,6.09,-1.69,3.24,-13.0,-0.61,-2.31,Equity : ETFs
Nippon India Nifty Bank Index Fund Reg(G),Himanshu Mange,EQ-INDX,2.07,4.71,-0.37,6.85,-1.55,-0.22,3.07,-2.91,1.05,-2.36,Equity : Index Funds
Nippon India Nifty G Sec Jun 2036 Maturity Index Fund Reg(G),Vivek Sharma,DT-GILT,0.85,-0.47,1.78,0.68,1.04,1.11,1.35,-0.1,0.66,0.59,Debt : Gilt
Nippon India Nifty G Sec Oct 2028 Maturity Index Fund Reg(G),Vivek Sharma,DT-M&LD,0.62,0.11,1.03,0.67,1.05,0.71,0.88,0.22,0.64,0.52,Debt : Medium to Long Duration
Nippon India Nifty G Sec Sep 2027 Maturity Index Fund Reg(G),Vivek Sharma,DT-GILT,0.57,0.18,0.92,0.7,0.95,0.7,0.75,0.34,0.62,0.45,Debt : Gilt
Nippon India Nifty IT Index Fund Reg(G),Himanshu Mange,EQ-INDX,-7.51,-4.92,-1.67,11.52,12.97,4.67,-2.03,-3.18,6.67,0.31,Equity : Index Funds
Nippon India Nifty Midcap 150 Index Fund Reg(G),Himanshu Mange,EQ-INDX,-0.48,6.25,2.15,7.9,4.96,0.32,1.66,-6.53,0.16,1.02,Equity : Index Funds
Nippon India Nifty Next 50 Junior BeES FoF Reg(G),Himanshu Mange,FOF-DOM,2.55,7.18,4.26,5.7,4.36,0.9,2.44,-9.13,1.07,-3.73,FoFs : Domestic
Nippon India Nifty Pharma ETF,Himanshu Mange,EQ-ETF,-0.08,-0.15,-0.92,4.96,10.57,6.77,0.23,-2.36,-2.17,5.25,Equity : ETFs
Nippon India Nifty SDL Plus G Sec   Jun 2029 Maturity 70:30 Index Fund Reg(G),Vivek Sharma,DT-M&LD,0.63,0.05,1.13,0.64,1.19,0.91,0.84,0.35,0.66,0.44,Debt : Medium to Long Duration
Nippon India Nifty SDL Plus G Sec Jun 2028 Maturity 70:30 Index Fund Reg(G),Vivek Sharma,DT-M&LD,0.59,0.26,0.93,0.72,1.04,0.75,0.86,0.45,0.48,0.47,Debt : Medium to Long Duration
Nippon India Nifty Smallcap 250 Index Fund Reg(G),Himanshu Mange,EQ-INDX,-4.36,10.29,-1.36,9.47,4.94,1.27,1.15,-3.66,-0.21,0.11,Equity : Index Funds
Nippon India Nivesh Lakshya Fund(G),Pranay Sinha,DT-LD,0.89,-1.09,2.23,1.03,0.83,1.22,1.61,-0.19,0.06,0.63,Debt : Long Duration
Nippon India Overnight Fund Reg(G),Siddharth Deb,DT-ON,0.56,0.53,0.55,0.53,0.54,0.54,0.53,0.53,0.52,0.55,Debt : Overnight
Nippon India Passive Flexicap FoF Reg(G),Ashutosh Bhargava,FOF-DOM,-0.28,4.21,0.64,6.78,4.25,0.38,2.68,-6.19,-0.35,-1.09,FoFs : Domestic
Nippon India Pharma Fund(G),Sailesh Raj Bhan,EQ-PHRM,-0.21,-0.08,0.83,3.24,9.7,6.01,0.8,-1.56,-0.76,3.19,Equity : Sectoral - Pharma
Nippon India Power & Infra Fund(G),Rahul Modi,EQ-POWER,1.94,5.6,5.2,7.78,2.53,-2.28,2.52,-7.31,0.88,-2.38,Equity : Sectoral - Energy / Power
Nippon India Quant Fund(G),Ashutosh Bhargava,EQ-THEM,2.39,3.56,-0.05,5.32,6.15,1.58,1.0,-6.04,1.36,-1.21,Equity : Thematic
Nippon India Retirement Fund Income Generation(G),Pranay Sinha,HY-SOL,0.75,-0.41,1.63,2.4,1.4,1.06,1.43,-1.17,0.18,0.1,Hybrid : Solution Oriented
Nippon India Retirement Fund Wealth Creation(G),Pranay Sinha,HY-SOL,0.78,3.35,1.05,7.85,4.77,0.95,1.6,-5.77,1.53,-1.23,Hybrid : Solution Oriented
Nippon India Short Term Fund(G),Sushil Budhia,DT-SD,0.7,0.27,0.78,0.55,0.91,0.67,0.86,0.5,0.54,0.6,Debt : Short Duration
Nippon India Silver ETF,Vikram Dhawan,GOLD-ETF,6.47,8.02,15.04,-4.8,-5.63,2.41,5.24,7.58,-7.34,-3.87,Gold : ETFs
Nippon India Silver ETF FOF Reg(G),Himanshu Mange,FOF-DOM,6,8.41,15.24,-5.22,-4.76,1.44,5.92,7.01,-7.82,-3.74,FoFs : Domestic
Nippon India Small Cap Fund(G),Samir Rachh,EQ-SML,-0.92,9.26,1.27,8.61,6.08,0.02,1.15,-2.99,-0.36,-0.82,Equity : Small Cap
Nippon India Strategic Debt Fund(G),Sushil Budhia,DT-MD,0.74,0.25,0.89,0.65,0.88,0.7,0.93,0.47,0.6,0.6,Debt : Medium Duration
Nippon India Taiwan Equity Fund Reg(G),Kinjal Desai,EQ-INTL,-1.02,-2.82,0.29,8.01,-8.55,8.53,-1.24,3.41,-0.45,4.53,Equity : International
Nippon India Ultra Short Duration Fund(G),Vivek Sharma,DT-USD,0.69,0.59,0.58,0.53,0.65,0.52,0.6,0.6,0.52,0.59,Debt : Ultra Short Duration
Nippon India US Equity Opp Fund(G),Kinjal Desai,EQ-INTL,3.47,-4.74,1.77,4.14,-0.98,2.15,0.95,0.02,6.19,-0.72,Equity : International
Nippon India Value Fund(G),Dhrumil Shah,EQ-VAL,0.58,5.69,1.24,6.54,4.24,2.06,2.23,-5.18,-0.6,-0.08,Equity : Value / Contra
Nippon India Vision Fund(G),Amar Kalkundrikar,EQ-L&M,2.07,4.57,2.44,6.58,4.32,1.36,2.44,-6.05,1.63,-0.13,Equity : Large & Mid Cap
NJ Balanced Advantage Fund Reg(G),Viral Shah,HY-EQ,0.16,0.86,0.46,4.16,5.4,2.32,-0.96,-5.54,-0.59,-0.66,Hybrid : Equity Oriented
NJ ELSS Tax Saver Scheme Reg(G),Viral Shah,EQ-ELSS,-2.86,1.06,1.04,7.9,6.98,2.05,1.07,-7.87,-2.09,1.1,Equity : Tax Saving (ELSS)
NJ Flexi Cap Fund Reg(G),Dhaval Patel,EQ-FLEX,-0.08,1.15,0.38,7.42,9.16,3.49,-1.93,-9.86,-1.34,-1.65,Equity : Flexi Cap
Old Bridge Focused Equity Fund Reg(G),Tarang Agrawal,EQ-FLEX,-0.2,5.35,-1.25,8.63,8.21,3.38,0.72,-5.07,-0.67,-1.68,Equity : Flexi Cap
Parag Parikh Arbitrage Fund Reg(G),Rajeev Thakkar,HY-ARB,0.61,0.67,0.56,0.64,0.56,0.55,0.51,0.62,0.53,0.59,Hybrid : Arbitrage
Parag Parikh Conservative Hybrid Fund Reg(G),Rajeev Thakkar,HY-DT(CO),0.67,1.21,0.95,1.32,2.1,1.09,0.92,-0.21,0.17,0.0,Hybrid : Debt Oriented (Conservative)
Parag Parikh Dynamic Asset Allocation Fund Reg(G),Rajeev Thakkar,HY-DYN,0.42,1.73,0.87,1.7,2.45,0.93,0.37,-0.48,0.41,0.17,Hybrid : Dynamic Asset Allocation
Parag Parikh ELSS Tax Saver Fund Reg(G),Rajeev Thakkar,EQ-ELSS,-1.12,2.66,0.24,5.71,5.48,1.24,3.17,-4.33,0.4,0.4,Equity : Tax Saving (ELSS)
Parag Parikh Flexi Cap Fund Reg(G),Rajeev Thakkar,EQ-FLEX,0.04,2.74,0.98,5.3,3.55,1.1,3.12,-3.03,0.85,0.99,Equity : Flexi Cap
Parag Parikh Liquid Fund Reg(G),Raj Mehta,DT-LIQ,0.6,0.55,0.58,0.55,0.57,0.55,0.55,0.55,0.54,0.56,Debt : Liquid
PGIM India Arbitrage Fund Reg(G),Chetan Chavan,HY-ARB,0.55,0.58,0.59,0.58,0.64,0.49,0.53,0.56,0.52,0.55,Hybrid : Arbitrage
PGIM India Balanced Advantage Fund Reg(G),Utsav Mehta,HY-DYN,1.5,2.14,-0.65,5.83,2.48,1.28,1.79,-3.78,0.27,-1.15,Hybrid : Dynamic Asset Allocation
PGIM India Corp Bond Fund(G),Puneet Pal,DT-CORP,0.73,0.25,0.76,0.47,0.83,0.71,0.94,0.43,0.52,0.46,Debt : Corporate Bond
PGIM India CRISIL IBX Gilt Index   Apr 2028 Fund Reg(G),Puneet Pal,DT-M&LD,0.58,0.13,0.94,0.71,0.96,0.7,0.84,0.36,0.47,0.55,Debt : Medium to Long Duration
PGIM India Dynamic Bond Fund(G),Puneet Pal,DT-DYN,0.65,-0.45,1.67,0.77,0.73,0.94,1.46,-0.08,0.46,0.35,Debt : Dynamic Bond
PGIM India ELSS Tax Saver Fund Reg(G),Sharma Vivek,EQ-ELSS,1.39,3.18,-0.71,8.56,2.26,1.94,2.68,-5.59,1.34,0.85,Equity : Tax Saving (ELSS)
PGIM India Emerging Markets Equity Fund(G),Chetan Gindodia,FOF-OVR,1.89,-0.45,3.28,4.91,-2.89,2.98,4.13,2.71,-2.51,2.24,FoFs : Overseas
PGIM India Equity Savings Fund(G),Anandha Padmanabhan Anjeneyan,HY-EQ,0.82,0.76,0.12,1.83,0.86,0.68,0.99,-0.83,0.58,0.25,Hybrid : Equity Oriented
PGIM India Flexi Cap Fund Reg(G),Anandha Padmanabhan Anjeneyan,EQ-FLEX,1.04,2.88,-1.84,8.56,3.13,2.49,2.65,-6.06,0.63,0.09,Equity : Flexi Cap
PGIM India Gilt Fund(G),Puneet Pal,DT-GILT,0.69,-0.84,1.83,0.83,0.77,1.01,1.55,-0.29,0.39,0.34,Debt : Gilt
PGIM India Global Equity Opp Fund(G),Chetan Gindodia,FOF-OVR,1.39,-5.17,5.08,5.04,-3.96,5.74,0.26,-1.1,3.03,-0.74,FoFs : Overseas
PGIM India Global Select Real Estate Securities FoF Reg(G),Chetan Gindodia,FOF-OVR,4.26,-5.72,3.36,0.42,6.05,5.81,3.26,-3.6,2.9,-5.99,FoFs : Overseas
PGIM India Hybrid Equity Fund(G),Sharma Vivek,HY-EQ,1.32,1.89,-0.48,6.72,1.27,2.11,1.19,-4.18,2.2,0.26,Hybrid : Equity Oriented
PGIM India Large and Mid Cap Fund(G),Vinay Paharia,EQ-L&M,2.16,3.17,-0.19,8.12,2.85,2.35,2.21,-5.69,1.28,0.67,Equity : Large & Mid Cap
PGIM India Large Cap Fund(G),Anandha Padmanabhan Anjeneyan,EQ-LC,2.45,1.42,-1.06,6.6,3.22,2.04,2.21,-7.62,0.67,-0.81,Equity : Large Cap
PGIM India Liquid Fund(G),Bhupesh Kalyani,DT-LIQ,0.63,0.63,0.59,0.56,0.6,0.57,0.58,0.59,0.56,0.59,Debt : Liquid
PGIM India Midcap Opp Fund Reg(G),Sharma Vivek,EQ-MID,0.26,3.81,0.81,10.14,2.69,1.62,2.81,-6.52,0.95,1.74,Equity : Mid Cap
PGIM India Money Market Fund Reg(G),Puneet Pal,DT-MM,0.66,0.57,0.58,0.52,0.66,0.53,0.64,0.58,0.54,0.58,Debt : Money Market
PGIM India Multi Cap Fund Reg(G),Sharma Vivek,EQ-MLC,-,-,-,-,-,-,-,-5.25,-0.31,0.1,Equity : Multi Cap
PGIM India Overnight Fund Reg(G),Bhupesh Kalyani,DT-ON,0.55,0.53,0.56,0.55,0.53,0.54,0.53,0.53,0.52,0.55,Debt : Overnight
PGIM India Retirement Fund Reg(G),Vinay Paharia,HY-SOL,-,-,-0.99,8.91,3.06,2.27,3.16,-4.38,0.87,0.26,Hybrid : Solution Oriented
PGIM India Small Cap Fund Reg(G),Utsav Mehta,EQ-SML,-2.66,7.88,-2.25,9.63,3.21,3.43,2.21,-2.28,-0.18,-1.05,Equity : Small Cap
PGIM India Ultra Short Duration Fund(G),Puneet Pal,DT-USD,0.62,0.59,0.51,0.52,0.59,0.51,0.6,0.56,0.5,0.56,Debt : Ultra Short Duration
Quant Absolute Fund(G),Sanjeev Sharma,HY-EQ,0.17,4.17,0.94,3.77,3.09,-1.27,1.59,-5.56,-2.42,-3.31,Hybrid : Equity Oriented
Quant Active Fund(G),Ankit Pande,EQ-MLC,0.1,8.29,0.22,5.29,3.56,-1.63,-0.58,-7.14,-0.41,-3.16,Equity : Multi Cap
Quant BFSI Fund Reg(G),Sandeep Tandon,EQ-FIN,-3.92,6.28,0.73,3.9,4.06,-2.48,2.15,-10.43,-1.36,0.03,Equity : Sectoral - Financial Services
Quant Business Cycle Fund Reg(G),Sandeep Tandon,EQ-THEM,-1.35,8.02,0.29,5.79,8.05,1.89,1.25,-7.81,-1.39,-4.04,Equity : Thematic
Quant Commodities Fund Reg(G),Ankit Pande,EQ-THEM,0.5,10.93,-1.24,5.43,9.98,0.38,4.08,-4.64,-3.04,-1.29,Equity : Thematic
Quant Consumption Fund Reg(G),Sandeep Tandon,EQ-CONS,-1.92,-0.04,-0.47,5.71,9.02,-1.94,1.68,-6.72,-1.53,-4.33,Equity : Thematic - Consumption
Quant Dynamic Asset Allocation Fund Reg(G),Sandeep Tandon,HY-DYN,-0.29,5.34,-0.11,3.64,5.81,-0.73,-0.22,-5.96,-0.78,-1.35,Hybrid : Dynamic Asset Allocation
Quant ELSS Tax Saver Fund(G),Ankit Pande,EQ-ELSS,0.09,6.87,2.17,4.04,2.87,-1.51,2.09,-7.13,-3.57,-4.4,Equity : Tax Saving (ELSS)
Quant ESG Equity Fund Reg(G),Ankit Pande,EQ-THEM,-2.39,3.88,2.86,4.41,9.93,0.69,-1.11,-7.04,-0.82,-4.73,Equity : Thematic
Quant Flexi Cap Fund(G),Ankit Pande,EQ-FLEX,-0.69,6.03,1.78,5.14,4.46,-1.32,1.77,-8.2,-3.33,-2.57,Equity : Flexi Cap
Quant Focused Fund(G),Ankit Pande,EQ-LC,0.28,3.86,0.37,4.7,4.11,0.07,1.96,-7.33,-2.37,-3.2,Equity : Large Cap
Quant Gilt Fund Reg(G),Sanjeev Sharma,DT-GILT,0.61,0.18,0.84,0.55,0.81,0.7,1.01,0.23,0.39,0.55,Debt : Gilt
Quant Healthcare Fund Reg(G),Sandeep Tandon,EQ-PHRM,-2.58,5.46,0.86,5.13,11.13,5.12,0.0,-4.36,-0.67,-3.04,Equity : Sectoral - Pharma
Quant Infrastructure Fund(G),Ankit Pande,EQ-INFRA,-0.44,7.49,1.76,3.95,3.35,-3.87,0.94,-6.91,-1.16,-0.91,Equity : Sectoral - Infrastructure
Quant Large & Mid Cap Fund(G),Ankit Pande,EQ-L&M,2.04,6.43,2.6,4.29,3.61,-1.36,0.93,-6.9,-2.67,-1.38,Equity : Large & Mid Cap
Quant Large Cap Fund Reg(G),Sandeep Tandon,EQ-LC,0.31,4.09,0.24,3.82,4.55,-0.69,2.11,-5.46,-2.19,-2.46,Equity : Large Cap
Quant Liquid Plan(G),Sanjeev Sharma,DT-LIQ,0.61,0.57,0.56,0.54,0.57,0.54,0.59,0.58,0.53,0.61,Debt : Liquid
Quant Manufacturing Fund Reg(G),Sandeep Tandon,EQ-THEM,-0.47,6.87,3.64,5.02,5.9,1.28,1.02,-6.18,-3.99,-3.14,Equity : Thematic
Quant Mid Cap Fund(G),Ankit Pande,EQ-MID,2.06,8.35,2.75,4.04,2.56,-2.32,0.9,-7.76,-1.82,-1.17,Equity : Mid Cap
Quant Momentum Fund Reg(G),Sandeep Tandon,EQ-THEM,1.41,7.77,1.23,5.37,5.31,-0.89,0.25,-7.36,-2.28,-3.37,Equity : Thematic
Quant Multi Asset Fund(G),Sanjeev Sharma,HY-MULTI,1.13,6.45,1.35,1.42,0.76,-0.66,5.6,-2.97,0.81,-1.36,Hybrid : Multi Asset Allocation
Quant Overnight Fund Reg(G),Sanjeev Sharma,DT-ON,0.57,0.55,0.57,0.55,0.54,0.52,0.56,0.56,0.52,0.59,Debt : Overnight
Quant PSU Fund Reg(G),Sandeep Tandon,EQ-THEM,-0.87,9.3,5.71,0.46,11.88,-2.65,-0.86,-11.74,-1.24,-5.52,Equity : Thematic
Quant Quantamental Fund Reg(G),Sandeep Tandon,EQ-THEM,1.78,6.89,0.99,3.74,3.7,-1.8,1.42,-7.98,-2.25,-3.61,Equity : Thematic
Quant Small Cap Fund(G),Ankit Pande,EQ-SML,-2.99,9.85,-0.48,6.07,3.98,0.54,1.36,-4.3,0.05,-3.98,Equity : Small Cap
Quant Teck Fund Reg(G),Sandeep Tandon,EQ-TECH,-3.8,2.08,-2.77,11.73,7.91,-0.1,-1.99,-5.51,3.33,-0.3,Equity : Sectoral - Technology
Quant Value Fund Reg(G),Sandeep Tandon,EQ-VAL,-0.51,9.64,0.12,3.53,6.45,-1.35,0.0,-6.8,0.18,-3.18,Equity : Value / Contra
Quantum Dynamic Bond Fund Reg(G),Pankaj Pathak,DT-DYN,0.76,-0.72,1.99,0.55,1.02,0.82,1.45,-0.21,0.34,0.57,Debt : Dynamic Bond
Quantum ELSS Tax Saver Fund Reg(G),George Thomas,EQ-ELSS,0.15,3.93,0.75,7.79,3.77,2.15,1.12,-4.01,0.8,-1.63,Equity : Tax Saving (ELSS)
Quantum Equity FoF Reg(G),Chirag Mehta,FOF-DOM,1.61,3.78,1.52,7.1,4.43,1.2,2.23,-5.58,0.29,-0.94,FoFs : Domestic
Quantum ESG Best In Class Strategy Fund Reg(G),Chirag Mehta,EQ-THEM,0.33,0.23,0.19,7.39,6.66,2.08,2.6,-7.06,0.8,-1.12,Equity : Thematic
Quantum Gold Fund ETF,Chirag Mehta,GOLD-ETF,7.55,7.2,0.28,-0.85,-3.41,3.65,5.19,4.95,-3.67,-0.89,Gold : ETFs
Quantum Gold Saving Fund Reg(G),Chirag Mehta,GOLD-MF,7.12,7.84,0.54,-1.17,-3.17,3.37,4.83,5.26,-3.95,-0.42,Gold : MFs
Quantum Liquid Fund Reg(G),Pankaj Pathak,DT-LIQ,0.6,0.58,0.58,0.55,0.57,0.56,0.56,0.56,0.54,0.56,Debt : Liquid
Quantum Long Term Equity Value Fund Reg(G),George Thomas,EQ-VAL,0.21,4,0.77,7.88,3.84,2.14,1.16,-4.01,0.82,-1.68,Equity : Value / Contra
Quantum Multi Asset Allocation Fund Reg(G),Chirag Mehta,HY-MULTI,-,1.1,1.19,3.32,1.7,1.3,1.84,-1.98,-0.18,-0.74,Hybrid : Multi Asset Allocation
Quantum Multi Asset FOFs Reg(G),Chirag Mehta,FOF-DOM,1.77,1.85,0.7,2.67,1.61,1.39,1.85,-1.32,-0.32,-0.39,FoFs : Domestic
Quantum Nifty 50 ETF FoF Reg(G),Hitendra Parekh,FOF-DOM,1.15,1.63,-0.07,6.64,3.96,1.43,2.24,-6.13,-0.26,-2.08,FoFs : Domestic
Quantum Small Cap Fund Reg(G),Chirag Mehta,EQ-SML,-2.63,5.98,-1.27,7.74,4.28,3.69,-0.71,-2.95,1.48,-1.78,Equity : Small Cap
Samco Active Momentum Fund Reg(G),Paras Matalia,EQ-THEM,-4.67,2.13,1.47,6.25,9.39,0.72,-2.08,-3.46,2.27,3.77,Equity : Thematic
Samco Arbitrage Fund Reg(G),Umeshkumar Mehta,HY-ARB,-,-,-,-,-,-,-,-,-,0.5,Hybrid : Arbitrage
Samco Dynamic Asset Allocation Fund Reg(G),Umeshkumar Mehta,HY-DYN,-0.59,0.59,1.67,3.96,6.41,1.05,0.0,-7.43,0.19,1.58,Hybrid : Dynamic Asset Allocation
Samco ELSS Tax Saver Fund Reg(G),Nirali Bhansali,EQ-ELSS,-3.12,4.76,1.32,6,3.62,-0.66,-0.46,-3.2,0.14,0.07,Equity : Tax Saving (ELSS)
Samco Flexi Cap Fund Reg(G),Nirali Bhansali,EQ-FLEX,-3.61,2.27,-0.09,4.35,3.52,-0.39,-0.79,-4.96,0.93,1.67,Equity : Flexi Cap
Samco Multi Cap Fund Reg(G),Umeshkumar Mehta,EQ-MLC,-,-,-,-,-,-,-,-,-2.1,-1.12,Equity : Multi Cap
Samco Overnight Fund Reg(G),Dhawal Ghanshyam Dhanani,DT-ON,0.53,0.51,0.52,0.5,0.51,0.5,0.5,0.51,0.5,0.52,Debt : Overnight
Samco Special Opportunities Fund Reg(G),Paras Matalia,EQ-THEM,-,-,-,-,3.81,-4.71,1.68,-4.08,-3.24,-0.21,Equity : Thematic
SBI Arbitrage Opportunities Fund Reg(G),Neeraj Kumar,HY-ARB,0.63,0.68,0.58,0.63,0.58,0.6,0.44,0.64,0.51,0.61,Hybrid : Arbitrage
SBI Automotive Opportunities Fund Reg(G),Tanmaya Desai,EQ-AUTO,-,-,-,-,4.31,0.33,2.46,-12.22,-1.31,-2.75,Equity : Sectoral - Auto
SBI Balanced Advantage Fund Reg(G),Dinesh Balachandran,HY-DYN,1.2,2.06,0.63,2.8,2.41,0.6,1.01,-2.04,0.13,-0.42,Hybrid : Dynamic Asset Allocation
SBI Banking & Financial Services Fund Reg(G),Milind Agrawal,EQ-FIN,1.43,5.61,0.03,6.52,1.39,0.37,3.41,-1.51,1.0,-1.86,Equity : Sectoral - Financial Services
SBI Banking and PSU Fund Reg(G),Rajeev Radhakrishnan,DT-B&PSU,0.69,0.18,0.76,0.58,0.85,0.68,0.92,0.42,0.48,0.52,Debt : Banking & PSU
SBI BlueChip Fund Reg(G),Saurabh Pant,EQ-LC,3.21,1.41,1.52,6.51,4.04,0.69,3.18,-5.43,-0.29,-1.84,Equity : Large Cap
SBI BSE 100 ETF,Raviprakash Sharma,EQ-ETF,1.62,1.99,0.32,7.02,4.19,1.29,2.3,-6.56,0.16,-1.91,Equity : ETFs
SBI BSE Sensex ETF,Raviprakash Sharma,EQ-ETF,1.58,1.13,-0.33,7.06,3.51,0.95,2.35,-5.7,0.56,-2.1,Equity : ETFs
SBI BSE Sensex Index Fund Reg(G),Raviprakash Sharma,EQ-INDX,1.55,1.09,-0.37,7.02,3.47,0.91,2.3,-5.74,0.52,-2.14,Equity : Index Funds
SBI BSE Sensex Next 50 ETF,Raviprakash Sharma,EQ-ETF,1.9,5.75,0.59,8.78,4.84,0.82,2.7,-8.37,1.45,-1.1,Equity : ETFs
SBI Conservative Hybrid Fund Reg(G),Saurabh Pant,HY-DT(CO),0.44,1.37,1.32,2.36,1.78,0.67,1.07,-0.63,-0.08,-0.04,Hybrid : Debt Oriented (Conservative)
SBI Consumption Opp Fund Reg(G),Ashit Desai,EQ-CONS,0.65,5.88,-0.48,7.85,7.67,2.78,4.49,-7.71,0.25,-0.34,Equity : Thematic - Consumption
SBI Contra Fund Reg(G),Dinesh Balachandran,EQ-VAL,0.48,5.43,-0.15,6.89,4.84,0.82,1.22,-5.8,0.44,-1.48,Equity : Value / Contra
SBI Corp Bond Fund Reg(G),Rajeev Radhakrishnan,DT-CORP,0.74,0.23,0.87,0.54,0.84,0.7,0.92,0.46,0.59,0.5,Debt : Corporate Bond
SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund Reg(G),Ranjana Gupta,DT-MD,0.61,0.43,0.72,0.64,0.76,0.67,0.66,0.64,0.47,0.5,Debt : Medium Duration
SBI Credit Risk Fund Reg(G),Lokesh Mallya,DT-CR,0.66,0.33,1.15,0.59,0.68,0.69,0.6,0.61,0.63,0.58,Debt : Credit Risk
SBI CRISIL IBX Gilt Index   Apr 2029 Fund Reg(G),Ranjana Gupta,DT-M&LD,0.67,-0.02,1.13,0.67,1.22,0.75,0.94,0.13,0.77,0.45,Debt : Medium to Long Duration
SBI CRISIL IBX Gilt Index   June 2036 Fund Reg(G),Ranjana Gupta,DT-LD,0.82,-0.47,1.75,0.76,1,1.11,1.32,-0.11,0.67,0.51,Debt : Long Duration
SBI CRISIL IBX SDL Index   Sep 2027 Fund Reg(G),Ranjana Gupta,DT-M&LD,0.48,0.53,0.79,0.83,0.89,0.76,0.76,0.53,0.42,0.45,Debt : Medium to Long Duration
SBI Dividend Yield Fund Reg(G),Rohit Shimpi,EQ-DIV,0.31,3.48,1.79,6.28,5.57,0.16,0.98,-6.18,0.82,-3.46,Equity : Thematic - Dividend Yield
SBI Dynamic Bond Fund Reg(G),Rajeev Radhakrishnan,DT-DYN,0.87,-0.68,1.66,0.73,0.82,0.98,1.49,-0.22,0.27,0.47,Debt : Dynamic Bond
SBI Energy Opportunities Fund Reg(G),Raj Gandhi,EQ-POWER,0.94,5.5,0.02,5.25,4.95,0.23,1.57,-9.1,-4.92,-0.55,Equity : Sectoral - Energy / Power
SBI Equity Hybrid Fund Reg(G),R. Srinivasan,HY-EQ,3,2.51,0.48,4.97,2.42,1.01,2.2,-4.47,1.0,-0.7,Hybrid : Equity Oriented
SBI Equity Minimum Variance Fund Reg(G),Raviprakash Sharma,EQ-THEM,-0.1,-0.72,-0.08,6.26,6.27,2.69,2.89,-8.89,-3.04,-1.17,Equity : Thematic
SBI Equity Savings Fund Reg(G),Neeraj Kumar,HY-EQ,-0.05,2.14,0.53,3.22,1.4,0.46,1.33,-0.34,0.49,0.13,Hybrid : Equity Oriented
SBI ESG Exclusionary Strategy Fund Reg(G),Rohit Shimpi,EQ-THEM,1.25,2.82,2.57,7.04,3.43,0.38,1.84,-5.63,1.17,-2.78,Equity : Thematic
SBI Flexicap Fund Reg(G),Dinesh Balachandran,EQ-FLEX,0.94,3.75,-0.25,6.71,3.97,0.78,2.29,-5.89,0.31,-0.56,Equity : Flexi Cap
SBI Floating Rate Debt Fund Reg(G),Ardhendu Bhattacharya,DT-FL,0.97,0.48,0.79,0.64,0.87,0.71,0.69,0.52,0.63,0.39,Debt : Floater
SBI Focused Equity Fund Reg(G),R. Srinivasan,EQ-MLC,5.19,4.09,1.32,5.09,2.92,0.33,2.76,-3.72,-0.62,0.02,Equity : Multi Cap
SBI Gold ETF,Vandna Soni,GOLD-ETF,8.04,6.42,0.77,-0.75,-3.58,3.8,4.46,5.36,-3.43,-0.77,Gold : ETFs
SBI Gold Reg(G),Raviprakash Sharma,GOLD-MF,7.62,7.57,0.46,-0.93,-3.22,3.29,4.81,4.99,-3.78,-0.39,Gold : MFs
SBI Healthcare Opp Fund Reg(G),Tanmaya Desai,EQ-PHRM,0.01,1.02,-2.15,5.43,7.09,6.64,2.77,1.01,-0.26,3.31,Equity : Sectoral - Pharma
SBI Infrastructure Fund Reg(G),Bhavin Vithlani,EQ-INFRA,2.35,5.77,1.33,9.02,2.82,-0.85,1.68,-6.12,-1.46,-1.6,Equity : Sectoral - Infrastructure
SBI Innovative Opportunities Fund Reg(G),Prasad Padala,EQ-THEM,-,-,-,-,-,-,0.93,-5.64,0.74,4.23,Equity : Thematic
SBI International Access US Equity FoF Reg(G),Pradeep Kesavan,FOF-OVR,4.97,-3.22,5.43,3.78,2.02,0.69,0.51,-1.05,4.82,-2.84,FoFs : Overseas
SBI Large & Midcap Fund Reg(G),Saurabh Pant,EQ-L&M,0.08,4.33,1.35,7.11,4.4,0.63,2.28,-4.36,0.33,-1.49,Equity : Large & Mid Cap
SBI Liquid Fund Reg(G),R. Arun,DT-LIQ,0.65,0.6,0.59,0.56,0.6,0.57,0.58,0.58,0.55,0.57,Debt : Liquid
SBI Long Duration Fund Reg(G),Tejas Soman,DT-LD,0.9,-1.49,2.39,1.39,0.57,1.18,1.79,-0.45,0.12,0.5,Debt : Long Duration
SBI Long Term Equity Fund Reg(G),Dinesh Balachandran,EQ-ELSS,1.05,5.19,1.13,6.69,5.68,0.76,1.6,-5.29,-0.16,-1.08,Equity : Tax Saving (ELSS)
SBI Magnum Childrens Benefit Fund Investment Plan Reg(G),R. Srinivasan,HY-SOL,-1.12,7.85,1.3,11.38,6.52,1.11,2.67,-4.7,0.3,5.85,Hybrid : Solution Oriented
